,feature,importance
428,west_congestion_lag168,0.00030256357
155,nyiso_pjm_load_ratio,0.000301896
38,PJM_PENELEC_LOAD_FORECAST,0.0002995601
359,system_stress_score_lag24,0.00029806327
364,price_ma48,0.00029719085
308,reserve_imbalance_coefficient,0.000295742
137,dominion_load_share_forecast,0.00029525257
222,OS_UNSCHED_STM_CAP_AEP_lag168,0.00029353745
149,load_imbalance_forecast,0.0002926949
429,high_congestion_west,0.0002869746
307,total_regional_reserves_lag24,0.00028518072
81,is_raining,0.0002818114
395,PJM_PSEG_DACONG_ma7d,0.000279336
271,OS_CALC_RESERVE_COMED_lag24,0.00027862532
267,OS_CALC_RESERVE_ATSI_lag48,0.0002773568
44,day,0.0002773341
264,OS_CALC_RESERVE_AP_change_24h,0.0002767142
272,OS_CALC_RESERVE_COMED_lag48,0.0002747993
115,west_dom_spread_lag24,0.0002704451
197,OS_TOTAL_SCHED_CAP_RTO_lag168,0.0002653309
408,PJM_N_ILLINOIS_HUB_DACONG_std7d,0.00026458706
286,OS_CALC_RESERVE_DOMINION_lag24,0.00025797935
269,OS_CALC_RESERVE_ATSI_change_24h,0.0002570527
202,OS_UNSCHED_STM_CAP_RTO_lag168,0.0002531825
224,OS_UNSCHED_STM_CAP_AEP_wow_change_pct,0.00025192232
258,OS_CALC_RESERVE_AEP_lag168,0.00024746603
377,PJM_WESTERN_HUB_DACONG_ma7d,0.00024727327
176,net_load_ramp_1h,0.00024387917
300,OS_CALC_RESERVE_EKPC_change_pct_24h,0.0002434622
277,OS_CALC_RESERVE_DAYTON_lag48,0.000242008
297,OS_CALC_RESERVE_EKPC_lag48,0.00023901951
390,PJM_DOMINION_HUB_DACONG_std7d,0.00023789988
322,reserve_to_generation_ratio,0.00023743299
31,PJM_RTO_LOAD_FORECAST_DA,0.00023566221
254,OS_CALC_RESERVE_MIDATLANTIC_change_24h,0.00023532631
213,OS_UNSCHED_STM_CAP_DOMINION_wow_change,0.0002347445
215,OS_UNSCHED_STM_CAP_COMED_lag24,0.00023379149
140,peco_load_share_forecast,0.00023267842
292,OS_CALC_RESERVE_DUQUESNE_lag48,0.0002316246
266,OS_CALC_RESERVE_ATSI_lag24,0.00022985964
112,DA_LMP_WEST_HUB_LAG48,0.00022912628
198,OS_TOTAL_SCHED_CAP_RTO_wow_change,0.0002283815
182,price_dispersion_lag24,0.00022769341
417,PJM_PECO_DACONG_lag168,0.00022120799
236,unsched_capacity_concentration,0.00021953249
263,OS_CALC_RESERVE_AP_lag168,0.0002176351
338,daily_load_factor,0.0002175047
255,OS_CALC_RESERVE_MIDATLANTIC_change_pct_24h,0.00021644875
123,load_forecast_error_pct,0.00021437585
262,OS_CALC_RESERVE_AP_lag48,0.00021174825
355,net_load_lag24,0.000207945
223,OS_UNSCHED_STM_CAP_AEP_wow_change,0.00020602913
311,AP_reserve_stress,0.00020492957
261,OS_CALC_RESERVE_AP_lag24,0.0002043999
321,east_west_reserve_ratio,0.00020280114
387,PJM_DOMINION_HUB_DACONG_lag168,0.00019873603
391,PJM_PSEG_DACONG_lag24,0.00019861567
425,PJM_BGE_DACONG_ma7d,0.00019695015
249,OS_CALC_RESERVE_RTO_change_24h,0.00019598987
287,OS_CALC_RESERVE_DOMINION_lag48,0.00019591933
238,min_unsched_zone_capacity,0.00019517807
283,OS_CALC_RESERVE_DEOK_lag168,0.00019314206
218,OS_UNSCHED_STM_CAP_COMED_wow_change,0.00019285455
407,PJM_N_ILLINOIS_HUB_DACONG_ma7d,0.00019211203
85,PJM_WESTERN_HUB_DA_LMP_LAG48,0.0001911169
328,high_reserve_volatility,0.00018981185
369,price_std168,0.00018934121
43,hour,0.00018833105
152,eastern_load_forecast,0.00018777726
73,cloud_cover_avg,0.00018721148
102,PJM_COMED_DA_LMP_LAG24,0.00018671184
423,PJM_BGE_DACONG_lag168,0.00018458461
53,day_sin,0.0001830862
337,is_daily_peak_hour,0.0001828236
51,month_sin,0.00018255803
216,OS_UNSCHED_STM_CAP_COMED_lag48,0.0001824916
419,PJM_PECO_DACONG_ma7d,0.00018225313
159,miso_load_lag24,0.00018164443
304,reserve_percentile_30d,0.00018092792
296,OS_CALC_RESERVE_EKPC_lag24,0.00018075063
10,CLOUD_COVER_Richmond,0.0001801393
270,OS_CALC_RESERVE_ATSI_change_pct_24h,0.00017939435
274,OS_CALC_RESERVE_COMED_change_24h,0.00017864021
285,OS_CALC_RESERVE_DEOK_change_pct_24h,0.00017697734
378,PJM_WESTERN_HUB_DACONG_std7d,0.00017681278
291,OS_CALC_RESERVE_DUQUESNE_lag24,0.00017642626
199,OS_TOTAL_SCHED_CAP_RTO_wow_change_pct,0.000175793
294,OS_CALC_RESERVE_DUQUESNE_change_24h,0.00017574798
235,unsched_capacity_std,0.00017537543
312,ATSI_reserve_stress,0.00017496062
91,PJM_DOMINION_HUB_DA_LMP_LAG48,0.00017424217
212,OS_UNSCHED_STM_CAP_DOMINION_lag168,0.00017409452
101,PJM_N_ILLINOIS_HUB_DA_LMP_LAG168,0.00017338459
241,OS_OPERATING_RESERVE_RTO_lag24,0.00017198178
420,PJM_PECO_DACONG_std7d,0.00017031677
414,PJM_COMED_DACONG_std7d,0.00017002787
360,system_stress_score_lag168,0.0001697641
107,PJM_PECO_DA_LMP_LAG168,0.00016939719
242,OS_OPERATING_RESERVE_RTO_lag48,0.00016855726
8,CLOUD_COVER_Baltimore,0.0001678784
158,miso_pjm_load_ratio,0.00016785183
163,load_ramp_4h,0.00016702955
319,eastern_reserves_lag24,0.00016657778
284,OS_CALC_RESERVE_DEOK_change_24h,0.00016472298
421,PJM_BGE_DACONG_lag24,0.00016448839
1,TEMP_F_Chicago_Midway,0.0001634817
221,OS_UNSCHED_STM_CAP_AEP_lag48,0.00016333742
389,PJM_DOMINION_HUB_DACONG_ma7d,0.00016331137
401,PJM_AEP_DAYTON_HUB_DACONG_ma7d,0.00016312335
161,load_ramp_1h,0.0001626972
97,PJM_AEP_DAYTON_HUB_DA_LMP_LAG48,0.00016155286
